title,year,number_ratings,average_rating,length,genres
Parasite,2019,3233120,4.6,133,"Comedy, Thriller, Drama"
Joker,2019,3064771,3.8,122,"Crime, Drama, Thriller"
Midsommar,2019,2420557,3.8,147,"Mystery, Drama, Horror"
Knives Out,2019,2583937,4.0,131,"Mystery, Comedy, Crime"
Once Upon a Time… in Hollywood,2019,1977706,3.8,162,"Drama, Thriller, Comedy"
Little Women,2019,1674110,4.2,135,"Romance, History, Drama"
Avengers: Endgame,2019,2119542,3.9,181,"Science Fiction, Action, Adventure"
Jojo Rabbit,2019,1524453,4.0,108,"War, Drama, Comedy"
Us,2019,1486294,3.7,116,"Thriller, Horror, The Undead And Monster Classics"
The Lighthouse,2019,1050960,4.0,109,"Horror, Drama, Thriller"
1917,2019,1310621,4.1,119,"History, Thriller, Drama"
Spider-Man: Far From Home,2019,1522464,3.4,129,"Adventure, Science Fiction, Action"
Uncut Gems,2019,1156127,4.0,136,"Thriller, Drama, Crime"
Portrait of a Lady on Fire,2019,725920,4.4,121,"History, Drama, Romance"
Marriage Story,2019,1067160,4.0,137,"Drama, Moving Relationship Stories, Humanity And The World Around Us"
Captain Marvel,2019,1118896,2.7,124,"Science Fiction, Action, Adventure"
Star Wars: The Rise of Skywalker,2019,969927,2.3,142,"Adventure, Action, Science Fiction"
Booksmart,2019,712038,3.7,102,"Comedy, Crude Humor And Satire, Underdogs And Coming Of Age"
Sound of Metal,2019,596059,4.2,120,"Music, Drama, Moving Relationship Stories"
The Irishman,2019,682483,3.9,209,"History, Drama, Crime"
Ready or Not,2019,651359,3.5,95,"Comedy, Horror, The Undead And Monster Classics"
Toy Story 4,2019,809815,3.4,100,"Adventure, Comedy, Fantasy"
It Chapter Two,2019,820260,2.9,169,"Fantasy, Drama, Horror"
Ford v Ferrari,2019,641185,4.0,153,"Drama, Action, History"
John Wick: Chapter 3 – Parabellum,2019,683184,3.7,131,"Crime, Thriller, Action"
The Platform,2019,591226,3.3,95,"Drama, Science Fiction, Thriller"
Shazam!,2019,592224,3.1,132,"Action, Comedy, Fantasy"
Rocketman,2019,468211,3.7,121,"Music, Drama, Song And Dance"
Frozen II,2019,539829,3.1,103,"Comedy, Family, Animation"
El Camino: A Breaking Bad Movie,2019,506908,3.6,123,"Crime, Drama, Thriller"
The Gentlemen,2019,431375,3.7,113,"Crime, Comedy, Action"
Chernobyl,2019,426290,4.6,327,"Drama, Politics And Human Rights, Horror"
Waves,2019,257519,3.9,135,"Romance, Drama, Moving Relationship Stories"
